"category","count","book_id"
"adult",18,"10335318"
"political",18,"10335318"
"library-book",17,"10335318"
"presidential-bios",17,"10335318"
"hist",16,"10335318"
"book-club-books",16,"10335318"
"read-in-2012",16,"10335318"
"to-read-history",16,"10335318"
"history-to-read",16,"10335318"
"american-presidents",15,"10335318"
"biography-autobiography",15,"10335318"
"presidential-biography",15,"10335318"
"shelfari-favorites",14,"10335318"
"u-s-history",14,"10335318"
"nonfiction-history",14,"10335318"
"bio",14,"10335318"
"2013-books",13,"10335318"
"ebooks",13,"10335318"
"history-nonfiction",13,"10335318"
"read-in-2011",13,"10335318"
"alexander-graham-bell",12,"10335318"
"overdrive",12,"10335318"
"historical-fiction",12,"10335318"
"adult-non-fiction",12,"10335318"
"washington-dc",12,"10335318"
"biographical",12,"10335318"
"history-us",12,"10335318"
"narrative-nonfiction",12,"10335318"
"recommended",12,"10335318"
"u-s-presidents",12,"10335318"
"read-2016",11,"10335318"
"read-in-2016",11,"10335318"
"non-fiction-history",11,"10335318"
"finished",11,"10335318"
"civil-war",11,"10335318"
"president",11,"10335318"
"memoir-biography",11,"10335318"
"2013-reads",10,"10335318"
"owned-books",10,"10335318"
"default",10,"10335318"
"book-club-reads",10,"10335318"
"historical-nonfiction",10,"10335318"
"non-fic",10,"10335318"
"want-to-read",10,"10335318"
"maybe",10,"10335318"
"5-stars",10,"10335318"
"to-read",5665,"10428803"
"historical-romance",1504,"10428803"
"romance",1438,"10428803"
"historical",724,"10428803"
"historical-fiction",275,"10428803"
"favorites",242,"10428803"
"currently-reading",234,"10428803"
"regency",193,"10428803"
"series",158,"10428803"
"adult",155,"10428803"
"fiction",150,"10428803"
"kindle",146,"10428803"
"regency-romance",115,"10428803"
"sarah-maclean",106,"10428803"
"romance-historical",95,"10428803"
"ebook",90,"10428803"
"library",86,"10428803"
"audiobook",75,"10428803"
"books-i-own",55,"10428803"
"marriage-of-convenience",52,"10428803"
"friends-to-lovers",51,"10428803"
"read-in-2012",50,"10428803"
"owned",48,"10428803"
"read-in-2014",45,"10428803"
"read-in-2013",45,"10428803"
"chick-lit",40,"10428803"
"revenge",37,"10428803"
"adult-fiction",37,"10428803"
"ebooks",37,"10428803"
"e-book",36,"10428803"
"audiobooks",35,"10428803"
"england",35,"10428803"
"read-in-2016",34,"10428803"
"read-in-2015",32,"10428803"
"first-in-series",30,"10428803"
"audio",29,"10428803"
"4-stars",29,"10428803"
"read-2014",28,"10428803"
"2012-reads",28,"10428803"
"historical-romances",28,"10428803"
"childhood-friends",27,"10428803"
"part-of-a-series",27,"10428803"
"virgin-heroine",26,"10428803"
"historicals",26,"10428803"
"read-2015",25,"10428803"
"dnf",25,"10428803"
"romance-novels",25,"10428803"
"5-stars",22,"10428803"
"steamy",22,"10428803"
"maybe",22,"10428803"
"2013-reads",21,"10428803"
"hr",21,"10428803"
"library-book",21,"10428803"
"nook",21,"10428803"
"read-2016",20,"10428803"
"guilty-pleasure",20,"10428803"
"reviewed",20,"10428803"
"e-books",20,"10428803"
"alpha-male",19,"10428803"
"favorite",19,"10428803"
"2016-reads",18,"10428803"
"first-in-a-series",18,"10428803"
"erotica",18,"10428803"
"tortured-hero",18,"10428803"
"read-2013",17,"10428803"
"re-read",17,"10428803"
"bad-boy",17,"10428803"
"favourites",17,"10428803"
"read-2012",17,"10428803"
"to-buy",17,"10428803"
"funny",16,"10428803"
"book-riot",15,"10428803"
"default",15,"10428803"
"guilty-pleasures",15,"10428803"
"romance-regency",15,"10428803"
"maclean-sarah",15,"10428803"
"audible",14,"10428803"
"paperback",14,"10428803"
"m-f",14,"10428803"
"author-sarah-maclean",14,"10428803"
"reto-rita-la-cantaora",13,"10428803"
"2015-reads",13,"10428803"
"2014-reads",13,"10428803"
"3-stars",13,"10428803"
"meh",13,"10428803"
"did-not-finish",13,"10428803"
"2014-read",12,"10428803"
"history",12,"10428803"
"the-rules-of-scoundrels",12,"10428803"
"forced-marriage",12,"10428803"
"gambling",12,"10428803"
"historical-regency",12,"10428803"
"kindle-books",12,"10428803"
"read-in-2017",11,"10428803"
"overdrive",11,"10428803"
"historical-rom",11,"10428803"
"to-read-romance",11,"10428803"
"historic-romance",11,"10428803"
"audio-book",11,"10428803"
"part-of-series",11,"10428803"
"to-read",9755,"104378"
"young-adult",1235,"104378"
"ya",594,"104378"
"favorites",559,"104378"
"romance",502,"104378"
"currently-reading",485,"104378"
"contemporary",430,"104378"
"books-i-own",425,"104378"
"sarah-dessen",407,"104378"
"chick-lit",223,"104378"
"realistic-fiction",214,"104378"
"fiction",209,"104378"
"owned",180,"104378"
"teen",137,"104378"
"library",79,"104378"
"ya-fiction",76,"104378"
"owned-books",71,"104378"
"ya-contemporary",66,"104378"
"to-buy",66,"104378"
"coming-of-age",66,"104378"
"summer",65,"104378"
"my-books",62,"104378"
"i-own",57,"104378"
"young-adult-fiction",55,"104378"
"stand-alone",50,"104378"
"summer-reads",50,"104378"
"high-school",50,"104378"
"realistic",46,"104378"
"friendship",43,"104378"
"favourites",41,"104378"
"ya-romance",40,"104378"
"kindle",38,"104378"
"read-in-2011",36,"104378"
"teen-fiction",36,"104378"
"ebooks",34,"104378"
"wish-list",33,"104378"
"ya-books",33,"104378"
"ebook",31,"104378"
"ya-lit",31,"104378"
"read-in-2014",30,"104378"
"books",30,"104378"
"my-library",29,"104378"
"teen-romance",29,"104378"
"love",28,"104378"
"read-in-2013",27,"104378"
"contemporary-ya",27,"104378"
"audiobooks",27,"104378"
"4-stars",26,"104378"
"stand-alones",24,"104378"
"paperback",24,"104378"
"library-books",24,"104378"
"re-read",24,"104378"
"audio",23,"104378"
"summer-books",23,"104378"
"all-time-favorites",22,"104378"
"teen-books",22,"104378"
"girly",21,"104378"
"favorite-authors",21,"104378"
"read-in-2015",20,"104378"
"read-in-2012",20,"104378"
"standalone",20,"104378"
"own-it",20,"104378"
"reread",20,"104378"
"audiobook",20,"104378"
"contemporary-fiction",20,"104378"
"novels",20,"104378"
"read-in-2016",19,"104378"
"summer-reading",19,"104378"
"dessen",18,"104378"
"have",17,"104378"
"borrowed",17,"104378"
"e-books",17,"104378"
"contemporary-romance",17,"104378"
"3-stars",17,"104378"
"young-adult-romance",17,"104378"
"love-stories",17,"104378"
"youngadult",17,"104378"
"on-my-bookshelf",16,"104378"
"read-2013",16,"104378"
"maybe",16,"104378"
"books-i-have",16,"104378"
"sarah-dessen-books",16,"104378"
"ya-realistic-fiction",16,"104378"
"read-in-2009",16,"104378"
"e-book",15,"104378"
"reviewed",15,"104378"
"ya-novels",15,"104378"
"read-in-2010",15,"104378"
"family",15,"104378"
"young-adult-books",15,"104378"
"read-2014",14,"104378"
"read-in-2017",13,"104378"
"default",13,"104378"
"self-esteem",13,"104378"
"middle-school",13,"104378"
"want-to-buy",13,"104378"
"need-to-buy",13,"104378"
"y-a",13,"104378"
"cute",13,"104378"
"want-to-read",13,"104378"
"to-read",4422,"10468258"
"paranormal",265,"10468258"
"currently-reading",239,"10468258"
"romance",192,"10468258"
"paranormal-romance",172,"10468258"
"kindle",112,"10468258"
"werewolves",109,"10468258"
"favorites",100,"10468258"
"nook",95,"10468258"
"fantasy",92,"10468258"
"series",77,"10468258"
"shifters",71,"10468258"
"nicky-charles",67,"10468258"
"ebooks",58,"10468258"
"ebook",54,"10468258"
"werewolf",41,"10468258"
"freebie",38,"10468258"
"adult",37,"10468258"
"fiction",36,"10468258"
"free",36,"10468258"
"e-book",35,"10468258"
"shifter",35,"10468258"
"supernatural",34,"10468258"
"pnr",34,"10468258"
"shapeshifters",34,"10468258"
"e-books",33,"10468258"
"freebies",32,"10468258"
"erotica",28,"10468258"
"nook-books",27,"10468258"
"law-of-the-lycans",26,"10468258"
"books-i-own",25,"10468258"
"owned",24,"10468258"
"urban-fantasy",20,"10468258"
"on-my-kindle",18,"10468258"
"kindle-books",17,"10468258"
"read-in-2011",17,"10468258"
"wolves",16,"10468258"
"romance-paranormal",15,"10468258"
"shapeshifter",15,"10468258"
"charles-nicky",15,"10468258"
"on-kindle",14,"10468258"
"suspense",13,"10468258"
"part-of-a-series",12,"10468258"
"owned-books",12,"10468258"
"law-of-the-lycans-series",12,"10468258"
"fantasy-paranormal",12,"10468258"
"read-2013",11,"10468258"
"kindle-freebie",10,"10468258"
"wolf",10,"10468258"
"weres",10,"10468258"
"read-in-2012",9,"10468258"
"contemporary",9,"10468258"
"free-books",9,"10468258"
"paranormal-fantasy",9,"10468258"
"free-ebook",9,"10468258"
"lendable",9,"10468258"
"own-it",9,"10468258"
"own-to-read",9,"10468258"
"alpha-male",9,"10468258"
"2013-books",8,"10468258"
"my-books",8,"10468258"
"adult-fiction",8,"10468258"
"steamy",8,"10468258"
"nook-lendable",8,"10468258"
"ibooks",8,"10468258"
"shape-shifters",8,"10468258"
"my-ebooks",8,"10468258"
"free-ebooks",8,"10468258"
"part-of-series",7,"10468258"
"shape-shifter",7,"10468258"
"ebooks-i-own",7,"10468258"
"tbr",7,"10468258"
"i-own",7,"10468258"
"werewolfs",7,"10468258"
"nook-book",7,"10468258"
"own-ebook",7,"10468258"
"amazon",6,"10468258"
"free-kindle-books",6,"10468258"
"kindle-lendable",6,"10468258"
"kindle-freebies",6,"10468258"
"on-nook",6,"10468258"
"library",6,"10468258"
"mystery",6,"10468258"
"e-reader",6,"10468258"
"my-library",5,"10468258"
"purchased",5,"10468258"
"calibre",5,"10468258"
"adult-paranormal",5,"10468258"
"free-book",5,"10468258"
"sci-fi-fantasy",5,"10468258"
"favourites",5,"10468258"
"pnr-uf",5,"10468258"
"lycans",5,"10468258"
"free-read",5,"10468258"
"have",5,"10468258"
"nookbook",5,"10468258"
"werewolves-shifters",5,"10468258"
"free-nook-book",5,"10468258"
"author-nicky-charles",5,"10468258"
"read-2014",4,"10468258"
"to-read",6459,"1048645"
"currently-reading",241,"1048645"
"historical-fiction",221,"1048645"
"favorites",177,"1048645"
"war",125,"1048645"
"young-adult",117,"1048645"
"fiction",101,"1048645"
"historical",96,"1048645"
"favourites",77,"1048645"
"childrens",72,"1048645"
"books-i-own",61,"1048645"
"ya",56,"1048645"
"school",41,"1048645"
"history",37,"1048645"
"owned",33,"1048645"
"children-s",33,"1048645"
"childhood",29,"1048645"
"ww1",27,"1048645"
"michael-morpurgo",26,"1048645"
"children",25,"1048645"
"family",23,"1048645"
"ks2",22,"1048645"
"romance",20,"1048645"
"wwi",19,"1048645"
"death",19,"1048645"
"owned-books",18,"1048645"
"my-books",16,"1048645"
"school-books",15,"1048645"
"library",15,"1048645"
"read-for-school",14,"1048645"
"to-buy",14,"1048645"
"children-s-books",14,"1048645"
"default",13,"1048645"
"for-school",13,"1048645"
"england",13,"1048645"
"classics",13,"1048645"
"world-war-i",13,"1048645"
"wish-list",13,"1048645"
"kids",13,"1048645"
"made-me-cry",12,"1048645"
"novels",11,"1048645"
"friendship",11,"1048645"
"sad",11,"1048645"
"world-war-1",11,"1048645"
"middle-grade",10,"1048645"
"adventure",10,"1048645"
"young-adult-fiction",10,"1048645"
"childhood-favourites",10,"1048645"
"favourite-books",10,"1048645"
"childhood-books",9,"1048645"
"books",9,"1048645"
"world-war-one",9,"1048645"
"i-own",9,"1048645"
"teen-fiction",9,"1048645"
"childrens-books",9,"1048645"
"teen",9,"1048645"
"novel",8,"1048645"
"audiobook",8,"1048645"
"read-in-2014",8,"1048645"
"read-in-2012",8,"1048645"
"favourite",8,"1048645"
"books-that-made-me-cry",8,"1048645"
"all-time-favourites",7,"1048645"
"middle-school",7,"1048645"
"read-in-2013",7,"1048645"
"all-books",7,"1048645"
"children-s-fiction",7,"1048645"
"british",7,"1048645"
"realistic-fiction",7,"1048645"
"brothers",7,"1048645"
"childrens-fiction",7,"1048645"
"5-star",6,"1048645"
"my-bookshelf",6,"1048645"
"stand-alone",6,"1048645"
"kids-books",6,"1048645"
"re-read",6,"1048645"
"first-world-war",6,"1048645"
"library-books",6,"1048645"
"love",6,"1048645"
"5-stars",6,"1048645"
"siblings",6,"1048645"
"loss",5,"1048645"
"ww2",5,"1048645"
"key-stage-2",5,"1048645"
"kindle",5,"1048645"
"coming-of-age",5,"1048645"
"france",5,"1048645"
"ya-fiction",5,"1048645"
"my-favourite-books",5,"1048645"
"borrowed",5,"1048645"
"read-in-2011",5,"1048645"
"favorite-books",5,"1048645"
"growing-up",5,"1048645"
"21st-century",5,"1048645"
"book-club",5,"1048645"
"young-adult-books",5,"1048645"
"historicalfiction",5,"1048645"
"youngadult",5,"1048645"
"to-reread",4,"1048645"
"journey",4,"1048645"
"to-read",163132,"10664113"
"currently-reading",20601,"10664113"
"fantasy",18409,"10664113"
"favorites",4214,"10664113"
"fiction",3591,"10664113"
"owned",1591,"10664113"
"books-i-own",1276,"10664113"
"series",1114,"10664113"
"epic-fantasy",885,"10664113"
"kindle",784,"10664113"
"a-song-of-ice-and-fire",664,"10664113"
"sci-fi-fantasy",650,"10664113"
"high-fantasy",542,"10664113"
"dragons",490,"10664113"
"game-of-thrones",489,"10664113"
"owned-books",441,"10664113"
"adult",436,"10664113"
"adventure",421,"10664113"
"fantasy-sci-fi",407,"10664113"
"epic",383,"10664113"
"ebook",382,"10664113"
"favourites",378,"10664113"
"george-r-r-martin",373,"10664113"
"audiobook",335,"10664113"
"default",332,"10664113"
"audiobooks",288,"10664113"
"to-buy",282,"10664113"
"scifi-fantasy",270,"10664113"
"ebooks",259,"10664113"
"novels",258,"10664113"
"my-books",244,"10664113"
"library",241,"10664113"
"read-in-2014",215,"10664113"
"magic",210,"10664113"
"english",188,"10664113"
"adult-fiction",183,"10664113"
"read-in-2012",182,"10664113"
"song-of-ice-and-fire",178,"10664113"
"audio",177,"10664113"
"science-fiction",177,"10664113"
"read-in-2013",175,"10664113"
"books",174,"10664113"
"war",167,"10664113"
"science-fiction-fantasy",166,"10664113"
"audible",165,"10664113"
"my-library",161,"10664113"
"asoiaf",159,"10664113"
"sci-fi",151,"10664113"
"read-in-2015",141,"10664113"
"medieval",135,"10664113"
"i-own",135,"10664113"
"fantasy-scifi",134,"10664113"
"e-book",131,"10664113"
"read-in-2011",127,"10664113"
"george-rr-martin",124,"10664113"
"fantasy-fiction",121,"10664113"
"on-hold",119,"10664113"
"e-books",117,"10664113"
"tbr",115,"10664113"
"abandoned",111,"10664113"
"novel",110,"10664113"
"audio-books",109,"10664113"
"sci-fi-and-fantasy",109,"10664113"
"wish-list",104,"10664113"
"fiction-fantasy",103,"10664113"
"fantasia",103,"10664113"
"all-time-favorites",102,"10664113"
"read-2013",101,"10664113"
"historical-fiction",100,"10664113"
"read-2014",97,"10664113"
"read-in-2016",95,"10664113"
"re-read",95,"10664113"
"american",94,"10664113"
"own-it",91,"10664113"
"read-in-english",87,"10664113"
"fantasía",85,"10664113"
"read-2012",85,"10664113"
"have",84,"10664113"
"favorite",84,"10664113"
"drama",81,"10664113"
"nook",81,"10664113"
"bookshelf",81,"10664113"
"dark-fantasy",77,"10664113"
"speculative-fiction",76,"10664113"
"audio-book",76,"10664113"
"shelfari-favorites",74,"10664113"
"kindle-books",74,"10664113"
"5-stars",72,"10664113"
"read-2015",71,"10664113"
"adult-fantasy",71,"10664113"
"did-not-finish",71,"10664113"
"action",69,"10664113"
"favorite-books",69,"10664113"
"contemporary",69,"10664113"
"martin",69,"10664113"
"finished",68,"10664113"
"unfinished",67,"10664113"
"fantasy-and-sci-fi",67,"10664113"
"sf-fantasy",66,"10664113"
"fantasy-series",66,"10664113"
"to-read",16187,"107017"
"comics",619,"107017"
"graphic-novels",434,"107017"
"batman",161,"107017"
"graphic-novel",135,"107017"
"dc",86,"107017"
"currently-reading",83,"107017"
"favorites",72,"107017"
"comic-books",57,"107017"
"superheroes",52,"107017"
"fiction",49,"107017"
"dc-comics",48,"107017"
"comic",47,"107017"
"comics-graphic-novels",41,"107017"
"superhero",38,"107017"
"owned",31,"107017"
"comics-and-graphic-novels",28,"107017"
"graphic-novels-comics",26,"107017"
"mystery",22,"107017"
"books-i-own",15,"107017"
"comics-read",14,"107017"
"fantasy",13,"107017"
"graphic",11,"107017"
"comic-graphic-novel",11,"107017"
"read-comics",11,"107017"
"series",11,"107017"
"to-read-comics",10,"107017"
"graphicnovels",10,"107017"
"comic-book",10,"107017"
"read-in-2015",8,"107017"
"default",8,"107017"
"super-heroes",8,"107017"
"graphic-novels-and-comics",8,"107017"
"dc-universe",7,"107017"
"library",7,"107017"
"comix",7,"107017"
"read-in-2013",6,"107017"
"superhero-comics",6,"107017"
"comics-manga",6,"107017"
"favourites",6,"107017"
"american",6,"107017"
"owned-books",5,"107017"
"my-books",5,"107017"
"graphic-novels-read",5,"107017"
"comics-and-manga",5,"107017"
"comicbooks",5,"107017"
"crime",5,"107017"
"graphicnovel",5,"107017"
"trade-paperbacks",5,"107017"
"hq",4,"107017"
"comic-books-graphic-novels",4,"107017"
"sequential-art",4,"107017"
"read-in-2012",4,"107017"
"action",4,"107017"
"jeph-loeb",4,"107017"
"graphics",4,"107017"
"library-books",4,"107017"
"sci-fi",4,"107017"
"borrowed",4,"107017"
"comics-dc",4,"107017"
"komiks",3,"107017"
"comics-to-read",3,"107017"
"read-2015",3,"107017"
"comics-owned",3,"107017"
"ed-esp",3,"107017"
"illustrated",3,"107017"
"bat-family",3,"107017"
"dc-batman",3,"107017"
"action-adventure",3,"107017"
"comicbook",3,"107017"
"graphic-novels-comic-books",3,"107017"
"comic-trades",3,"107017"
"super-hero",3,"107017"
"graphic-novel-manga",3,"107017"
"capes",3,"107017"
"teen",3,"107017"
"thriller",3,"107017"
"romance",3,"107017"
"batman-graphic-novels",3,"107017"
"2000s",3,"107017"
"reviewed",3,"107017"
"graphic-novel-comic",3,"107017"
"read-in-2010",3,"107017"
"21st-century",3,"107017"
"manga-comics",3,"107017"
"graphic_novels",3,"107017"
"adventure",3,"107017"
"part-of-a-series",3,"107017"
"to-read-graphic-novels",2,"107017"
"read-in-2017",2,"107017"
"2004",2,"107017"
"books-read-2016",2,"107017"
"comic-collection",2,"107017"
"batman-collection",2,"107017"
"graphic-novels-and-comic-books",2,"107017"
"komiksy",2,"107017"
"read-in-2016",2,"107017"
"quadrinhos",2,"107017"
"harley-quinn",2,"107017"
"cómic-americano",2,"107017"
"to-read",11831,"108229"
"non-fiction",1156,"108229"
"nonfiction",462,"108229"
"history",348,"108229"
"currently-reading",341,"108229"
"adventure",286,"108229"
"favorites",171,"108229"
"owned",116,"108229"
"biography",108,"108229"
"nature",81,"108229"
"survival",78,"108229"
"fiction",74,"108229"
"books-i-own",69,"108229"
"historical",49,"108229"
"default",48,"108229"
"science",47,"108229"
"disaster",34,"108229"
"nautical",34,"108229"
"owned-books",32,"108229"
"library",32,"108229"
"audio",32,"108229"
"audiobooks",31,"108229"
"kindle",30,"108229"
"travel",27,"108229"
"audiobook",26,"108229"
"weather",26,"108229"
"book-club",26,"108229"
"thriller",25,"108229"
"new-england",25,"108229"
"memoir",24,"108229"
"disasters",24,"108229"
"novels",23,"108229"
"movie",21,"108229"
"adult",20,"108229"
"general-non-fiction",20,"108229"
"journalism",19,"108229"
"maritime",19,"108229"
"fishing",18,"108229"
"my-books",17,"108229"
"sailing",17,"108229"
"england",17,"108229"
"outdoors",17,"108229"
"biography-memoir",17,"108229"
"new",16,"108229"
"true-story",16,"108229"
"to-buy",15,"108229"
"storms",15,"108229"
"natural",15,"108229"
"i-own",15,"108229"
"fisheries",15,"108229"
"sea",15,"108229"
"my-library",15,"108229"
"humble-bundle",14,"108229"
"mass",14,"108229"
"seas",14,"108229"
"oceans",14,"108229"
"autobiography",14,"108229"
"northeast",14,"108229"
"gloucester",14,"108229"
"movies",14,"108229"
"award",13,"108229"
"habitats",13,"108229"
"ecosystems",13,"108229"
"climatology",13,"108229"
"meteorology",13,"108229"
"novel",13,"108229"
"social",13,"108229"
"own-it",13,"108229"
"customs",13,"108229"
"1997",13,"108229"
"ships",13,"108229"
"alex",13,"108229"
"historical-fiction",13,"108229"
"calibre",12,"108229"
"transportation",12,"108229"
"traditions",12,"108229"
"groups",12,"108229"
"specific",12,"108229"
"ecology",12,"108229"
"sciences",12,"108229"
"earth",12,"108229"
"general",12,"108229"
"true-adventure",12,"108229"
"true-stories",12,"108229"
"unread",12,"108229"
"to-read-nonfiction",11,"108229"
"ebooks",11,"108229"
"hurricane",11,"108229"
"ebook",11,"108229"
"biographies",11,"108229"
"storm",11,"108229"
"american-history",11,"108229"
"memoirs",11,"108229"
"american",11,"108229"
"the-sea",10,"108229"
"tropical",10,"108229"
"swordfish",10,"108229"
"sea-stories",10,"108229"
"nor-easter",10,"108229"
"halloween",10,"108229"
"to-read",1273,"10908"
"jodi-picoult",427,"10908"
"currently-reading",208,"10908"
"chick-lit",95,"10908"
"owned",88,"10908"
"favorites",65,"10908"
"romance",57,"10908"
"picoult",53,"10908"
"drama",50,"10908"
"adult-fiction",44,"10908"
"adult",39,"10908"
"audiobook",38,"10908"
"audiobooks",38,"10908"
"contemporary-fiction",37,"10908"
"fiction",32,"10908"
"audio",32,"10908"
"library",32,"10908"
"books-i-own",31,"10908"
"general-fiction",31,"10908"
"novels",26,"10908"
"kindle",25,"10908"
"i-own",24,"10908"
"my-books",22,"10908"
